,,In any state\1\,In their home state,,To freshman enrollment (col. 4/col. 2)  ,To residents enrolled in any state (col. 4/col. 3) ,Out of state (col. 3 - col. 4) ,Into state/2/ (col. 2 - col. 4) ,Net (col. 8 - col. 7)
Alabama ...........................,51456.00,42596.00,37581.00,,0.73,0.88,5015.00,13875.00,8860.00
Alaska ............................,3193.00,5109.00,2900.00,,0.91,0.57,2209.00,293.00,-1916.00
Arizona ............................,89486.00,50385.00,45621.00,,0.51,0.91,4764.00,43865.00,39101.00
Arkansas ...........................,26838.00,25071.00,21760.00,,0.81,0.87,3311.00,5078.00,1767.00
California .........................,433287.00,422773.00,393120.00,,0.91,0.93,29653.00,40167.00,10514.00
Colorado ...........................,54978.00,48384.00,39436.00,,0.72,0.82,8948.00,15542.00,6594.00
Connecticut .........................,30754.00,36886.00,21200.00,,0.69,0.57,15686.00,9554.00,-6132.00
Delaware ............................,9231.00,7881.00,5423.00,,0.59,0.69,2458.00,3808.00,1350.00
District of Columbia ................,13734.00,3967.00,915.00,,0.07,0.23,3052.00,12819.00,9767.00
Florida ............................,153189.00,143069.00,125023.00,,0.82,0.87,18046.00,28166.00,10120.00
Georgia .............................,86199.00,91194.00,74153.00,,0.86,0.81,17041.00,12046.00,-4995.00
Hawaii ...............................,9668.00,11348.00,7878.00,,0.81,0.69,3470.00,1790.00,-1680.00
Idaho ..............................,12057.00,11978.00,8387.00,,0.70,0.70,3591.00,3670.00,79.00
Illinois ...........................,119139.00,122184.00,92908.00,,0.78,0.76,29276.00,26231.00,-3045.00
Indiana .............................,73439.00,65116.00,56900.00,,0.77,0.87,8216.00,16539.00,8323.00
Iowa ...............................,44777.00,30579.00,26274.00,,0.59,0.86,4305.00,18503.00,14198.00
Kansas ..............................,29593.00,27498.00,23041.00,,0.78,0.84,4457.00,6552.00,2095.00
Kentucky ...........................,40207.00,38053.00,32791.00,,0.82,0.86,5262.00,7416.00,2154.00
Louisiana ..........................,38473.00,37390.00,32786.00,,0.85,0.88,4604.00,5687.00,1083.00
Maine ...............................,12142.00,12465.00,8733.00,,0.72,0.70,3732.00,3409.00,-323.00
Maryland ...........................,47770.00,58421.00,38234.00,,0.80,0.65,20187.00,9536.00,-10651.00
Massachusetts ......................,75530.00,67903.00,47699.00,,0.63,0.70,20204.00,27831.00,7627.00
Michigan ..........................,96416.00,100432.00,88272.00,,0.92,0.88,12160.00,8144.00,-4016.00
Minnesota ...........................,55023.00,58383.00,44137.00,,0.80,0.76,14246.00,10886.00,-3360.00
Mississippi ........................,33578.00,32647.00,28841.00,,0.86,0.88,3806.00,4737.00,931.00
Missouri..........................,57833.00,56087.00,46447.00,,0.80,0.83,9640.00,11386.00,1746.00
Montana ...........................,8520.00,8349.00,6351.00,,0.75,0.76,1998.00,2169.00,171.00
Nebraska ..........................,18109.00,17878.00,14641.00,,0.81,0.82,3237.00,3468.00,231.00
Nevada .............................,18536.00,20260.00,16726.00,,0.90,0.83,3534.00,1810.00,-1724.00
New Hampshire .....................,13056.00,13257.00,7045.00,,0.54,0.53,6212.00,6011.00,-201.00
New Jersey ........................,65959.00,96826.00,60691.00,,0.92,0.63,36135.00,5268.00,-30867.00
New Mexico ........................,19569.00,19024.00,15982.00,,0.82,0.84,3042.00,3587.00,545.00
New York ..........................,193929.00,190660.00,156091.00,,0.80,0.82,34569.00,37838.00,3269.00
North Carolina ...................,88596.00,83364.00,72436.00,,0.82,0.87,10928.00,16160.00,5232.00
North Dakota ......................,8733.00,6622.00,4828.00,,0.55,0.73,1794.00,3905.00,2111.00
Ohio ..............................,108929.00,113638.00,93980.00,,0.86,0.83,19658.00,14949.00,-4709.00
Oklahoma ..........................,33339.00,30624.00,26499.00,,0.79,0.87,4125.00,6840.00,2715.00
Oregon ............................,33748.00,31189.00,25759.00,,0.76,0.83,5430.00,7989.00,2559.00
Pennsylvania .....................,143938.00,127454.00,105349.00,,0.73,0.83,22105.00,38589.00,16484.00
Rhode Island .....................,16543.00,10341.00,7244.00,,0.44,0.70,3097.00,9299.00,6202.00
South Carolina ....................,43405.00,38907.00,33698.00,,0.78,0.87,5209.00,9707.00,4498.00
South Dakota .....................,8920.00,8175.00,6164.00,,0.69,0.75,2011.00,2756.00,745.00
Tennessee ........................,53671.00,53285.00,44177.00,,0.82,0.83,9108.00,9494.00,386.00
Texas ............................,199333.00,210694.00,184051.00,,0.92,0.87,26643.00,15282.00,-11361.00
Utah ..............................,30331.00,24545.00,22382.00,,0.74,0.91,2163.00,7949.00,5786.00
Vermont ...........................,7744.00,5363.00,2529.00,,0.33,0.47,2834.00,5215.00,2381.00
Virginia ..........................,81742.00,77797.00,62966.00,,0.77,0.81,14831.00,18776.00,3945.00
Washington ........................,41221.00,44245.00,34466.00,,0.84,0.78,9779.00,6755.00,-3024.00
West Virginia .....................,19954.00,14253.00,12076.00,,0.61,0.85,2177.00,7878.00,5701.00
Wisconsin .........................,58310.00,57970.00,47678.00,,0.82,0.82,10292.00,10632.00,340.00
Wyoming ...........................,6241.00,4608.00,3445.00,,0.55,0.75,1163.00,2796.00,1633.00
